Point1,Point2,Point3,Point4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.780565,0,0,0
0.41352496,0.13110787,0.13110787,0.26221574
0,0,0,0
1.4214504,0,0,0
28.902826,0.29519635,0.29519635,0.5903927
6.387774,6.6498766,6.6498766,13.2997532
0.56298304,11.381252,11.381252,22.762504
1.905537,0.4811315,0.4811315,0.962263
3.1271908,0,0,0
40.747814,1.5385414,1.5385414,3.0770828
22.650679,50.765728,50.765728,101.531456
9.618348,8.0218935,8.0218935,16.043787
5.3985677,1.5185785,1.5185785,3.037157
19.99507,0.20421779,0.20421779,0.40843558
8.519103,32.21612,32.21612,64.43224
18.722042,3.873594,3.873594,7.747188
0.11789339,0.83551985,0.83551985,1.6710397
9.676132,0.561831,0.561831,1.123662
1.6111106,2.42642,2.42642,4.85284
0.14231338,2.8150988,2.8150988,5.6301976
0,0.10174764,0.10174764,0.20349528
0,0,0,0
0,0,0,0
10.803023,0.11033568,0.11033568,0.22067136
0,0,0,0
8.907756,0.11821807,0.11821807,0.23643614
16.18761,0.16453567,0.16453567,0.32907134
0,0,0,0
0.4336746,6.0278945,6.0278945,12.055789
0.6675301,30.015333,30.015333,60.030666
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3.3247752,3.3247752,6.6495504
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
